No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,AES Encryption,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,DMR MODE,Exclude channel from roaming
,KU6V (70cm),442.775,447.775,A-Analog,High,12.5K,131.8,131.8,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WA6MIA (70cm),442.850,447.850,A-Analog,High,12.5K,100.0,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WA6YLV (70cm),442.875,447.875,A-Analog,High,12.5K,100.0,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,K6YZS (70cm),442.950,447.950,A-Analog,High,12.5K,85.4,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,W6AMT (70cm),443.275,448.275,A-Analog,High,12.5K,107.2,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,KB5JR (70cm),443.300,448.300,A-Analog,High,12.5K,136.5,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WA6GFY (70cm),443.775,448.775,A-Analog,High,12.5K,100.0,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WB6RNH (70cm),444.300,449.300,A-Analog,High,12.5K,173.8,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WB6RNH (70cm),444.300,449.300,A-Analog,High,12.5K,162.2,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,WA6INC (70cm),444.325,449.325,D-Digital,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
